Key	Song Title	BPM	Artist	Genre	Decade	Ultimate Guitar Link	Lyrics Link	
C	9 to 5	104	Dolly Parton	Country Pop	1980s	https://tabs.ultimate-guitar.com/tab/dolly-parton/9-to-5-chords-66417	https://genius.com/Dolly-parton-9-to-5-lyrics	
C	Africa	92	Toto	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/toto/africa-chords-46313	https://genius.com/Toto-africa-lyrics	
G	AllStar	104	Smash Mouth	Pop Rock	1990s	https://tabs.ultimate-guitar.com/tab/smash-mouth/allstar-chords	https://genius.com/Smash-mouth-allstar-lyrics	
D	All Summer Long	100	Kid Rock	Country Rock	2000s	https://tabs.ultimate-guitar.com/tab/kid-rock/all-summer-long-chords	https://genius.com/Kid-rock-all-summer-long-lyrics	
C	All The Small Things	148	Blink-182	Pop Punk	1990s	https://tabs.ultimate-guitar.com/tab/blink-182/all-the-small-things-chords	https://genius.com/Blink-182-all-the-small-things-lyrics	
E	American Girl	120	Tom Petty	Rock	1970s	https://tabs.ultimate-guitar.com/tab/tom-petty/american-girl-chords	https://genius.com/Tom-petty-american-girl-lyrics	
G	American Pie	136	Don McLean	Folk Rock	1970s	https://tabs.ultimate-guitar.com/tab/don-mclean/american-pie-chords	https://genius.com/Don-mclean-american-pie-lyrics	
E	Baby Got Back	110	Sir Mix-a-Lot	Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/sir-mix-a-lot/baby-got-back-chords	https://genius.com/Sir-mix-a-lot-baby-got-back-lyrics	
G	Bad Bad Leroy Brown	120	Jim Croce	Pop/Folk	1970s	https://tabs.ultimate-guitar.com/tab/jim-croce/bad-bad-leroy-brown-chords	https://genius.com/Jim-croce-bad-bad-leroy-brown-lyrics	
Am	Because I Got High	76	Afroman	Hip Hop/Comedy	2000s	https://tabs.ultimate-guitar.com/tab/afroman/because-i-got-high-chords	https://genius.com/Afroman-because-i-got-high-lyrics	
G	Bennie And The Jets	65	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/bennie-and-the-jets-chords	https://genius.com/Elton-john-bennie-and-the-jets-lyrics	
F#m	Billie Jean	120	Michael Jackson	Pop/Funk	1980s	https://tabs.ultimate-guitar.com/tab/michael-jackson/billie-jean-chords	https://genius.com/Michael-jackson-billie-jean-lyrics	
