5 o'clock Somewhere	Alan Jackson & Jimmy Buffett	Country	2003	2000s	Remove

9 to 5	Dolly Parton	Country Pop	1980	1980s	Remove

Africa	Toto	Pop Rock	1982	1980s	Remove

All Star	Smash Mouth	Pop Rock	1999	1990s	Remove

All Summer Long	Kid Rock	Country Rock	2008	2000s	Remove

All the Small Things	Blink-182	Pop Punk	1999	1990s	Remove

American Girl	Tom Petty	Rock	1976	1970s	Remove

American Pie	Don McLean	Folk Rock	1971	1970s	Remove

Baby Got Back	Sir Mix-a-Lot	Hip Hop	1992	1990s	Remove

Bad Bad Leroy Brown	Jim Croce	Pop Rock	1973	1970s	Remove

Because I Got High	Afroman	Hip Hop	2000	2000s	Remove

Bennie & the Jets	Elton John	Rock	1974	1970s	Remove

Billie Jean	Michael Jackson	Pop	1982	1980s	Remove

Blister in the Sun	Violent Femmes	Alternative Rock	1983	1980s	Remove

Boot Scootin Boogie	Brooks & Dunn	Country	1992	1990s	Remove

Born to Run	Bruce Springsteen	Rock	1975	1970s	Remove

Brick House	Commodores	Funk	1977	1970s	Remove

Brown Eyed Girl	Van Morrison	Rock	1967	1960s	Remove

Build Me Up Buttercup	The Foundations	Pop	1968	1960s	Remove

Bye Bye Bye	*NSYNC	Pop	2000	2000s	Remove

Callin On Baton Rouge	Garth Brooks	Country	1994	1990s	Remove

Can't Stop the Feeling	Justin Timberlake	Pop	2016	2010s	Remove

Can't Take My Eyes off of You	Frankie Valli	Pop	1967	1960s	Remove

Celebration	Kool & The Gang	Funk	1980	1980s	Remove

Chicken Fried	Zac Brown Band	Country	2008	2000s	Remove

Come On Eileen	Dexys Midnight Runners	Pop Rock	1982	1980s	Remove

Come Sail Away	Styx	Rock	1977	1970s	Remove

Copperhead Road	Steve Earle	Country Rock	1988	1980s	Remove

Country girl (Shake It For Me)	Luke Bryan	Country	2011	2010s	Remove

Crazy Little Thing Called Love	Queen	Rock	1979	1970s	Remove

Crocodile Rock	Elton John	Rock	1972	1970s	Remove

Cupid Shuffle	Cupid	R&B	2007	2000s	Remove

December, 1963 (Oh, What A Night)	The Four Seasons	Pop	1975	1970s	Remove

Devil Went Down to Georgia	Charlie Daniels Band	Country	1979	1970s	Remove

Don't Stop Believin'	Journey	Rock	1981	1980s	Remove

Drift Away	Dobie Gray	Soft Rock	1973	1970s	Remove

Drops of Jupiter	Train	Rock	2001	2000s	Remove

Enter Sandman	Metallica	Metal	1991	1990s	Remove

Escape (The Pina Colada Song)	Rupert Holmes	Pop	1979	1970s	Remove

Eye of the Tiger	Survivor	Rock	1982	1980s	Remove

Faithfully	Journey	Rock	1983	1980s	Remove

Family Tradition	Hank Williams Jr.	Country	1979	1970s	Remove

Fat Bottom Girls	Queen	Rock	1978	1970s	Remove

Folsom Prison	Johnny Cash	Country	1968	1960s	Remove

Footloose	Kenny Loggins	Pop Rock	1984	1980s	Remove

Forget You	CeeLo Green	Pop	2010	2010s	Remove

Friends in Low Places	Garth Brooks	Country	1990	1990s	Remove

Great Balls of Fire	Jerry Lee Lewis	Rock and Roll	1957	1950s	Remove

Happy	Pharrell Williams	Pop	2013	2010s	Remove

