Key	Song Title	BPM	Artist	Genre	Decade	Ultimate Guitar Link	Lyrics Link	
C	9 to 5	104	Dolly Parton	Country Pop	1980s	https://tabs.ultimate-guitar.com/tab/dolly-parton/9-to-5-chords-66417	https://genius.com/Dolly-parton-9-to-5-lyrics	
F	1999	116	Prince	Pop/Funk	1980s	https://tabs.ultimate-guitar.com/tab/prince/1999-chords-95845	https://genius.com/Prince-1999-lyrics	
G	3am	92	Matchbox Twenty	Alternative Rock	1990s	https://tabs.ultimate-guitar.com/tab/matchbox-twenty/3-am-chords-29683	https://genius.com/Matchbox-twenty-3am-lyrics	
Am	5 to 1	120	The Doors	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-doors/five-to-one-chords-1130734	https://genius.com/The-doors-five-to-one-lyrics	
F#m	867-5309 (Jenny)	134	Tommy Tutone	Rock/Pop	1980s	https://tabs.ultimate-guitar.com/tab/tommy-tutone/867-5309-jenny-chords-35635	https://genius.com/Tommy-tutone-867-5309-jenny-lyrics	
C	Africa	92	Toto	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/toto/africa-chords-46313	https://genius.com/Toto-africa-lyrics	
C	Ain't That A Shame	136	Fats Domino	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/fats-domino/aint-that-a-shame-chords-1448847	https://genius.com/Fats-domino-aint-that-a-shame-lyrics	
C	Ain't Too Proud To Beg	144	The Temptations	Motown/Soul	1960s	https://tabs.ultimate-guitar.com/tab/the-temptations/aint-too-proud-to-beg-chords-1127089	https://genius.com/The-temptations-aint-too-proud-to-beg-lyrics	
Bb	Ain't Wasting Time No More	104	The Allman Brothers Band	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/aint-wastin-time-no-more-chords-918891	https://genius.com/The-allman-brothers-band-aint-wastin-time-no-more-lyrics	
Am	All Along The Watchtower	116	Jimi Hendrix	Rock	1960s	https://tabs.ultimate-guitar.com/tab/jimi-hendrix/all-along-the-watchtower-chords-46358	https://genius.com/Jimi-hendrix-all-along-the-watchtower-lyrics	
G	All Right Now	122	Free	Rock	1970s	https://tabs.ultimate-guitar.com/tab/free/all-right-now-chords	https://genius.com/Free-all-right-now-lyrics	
G	AllStar	104	Smash Mouth	Pop Rock	1990s	https://tabs.ultimate-guitar.com/tab/smash-mouth/allstar-chords	https://genius.com/Smash-mouth-allstar-lyrics	
D	All Summer Long	100	Kid Rock	Country Rock	2000s	https://tabs.ultimate-guitar.com/tab/kid-rock/all-summer-long-chords	https://genius.com/Kid-rock-all-summer-long-lyrics	
C	All The Small Things	148	Blink-182	Pop Punk	1990s	https://tabs.ultimate-guitar.com/tab/blink-182/all-the-small-things-chords	https://genius.com/Blink-182-all-the-small-things-lyrics	
D	American Band	128	Grand Funk Railroad	Rock	1970s	https://tabs.ultimate-guitar.com/tab/grand-funk-railroad/american-band-chords	https://genius.com/Grand-funk-railroad-american-band-lyrics	
E	American Girl	120	Tom Petty	Rock	1970s	https://tabs.ultimate-guitar.com/tab/tom-petty/american-girl-chords	https://genius.com/Tom-petty-american-girl-lyrics	
G	American Pie	136	Don McLean	Folk Rock	1970s	https://tabs.ultimate-guitar.com/tab/don-mclean/american-pie-chords	https://genius.com/Don-mclean-american-pie-lyrics	
A	Amie	108	Pure Prairie League	Country Rock	1970s	https://tabs.ultimate-guitar.com/tab/pure-prairie-league/amie-chords	https://genius.com/Pure-prairie-league-amie-lyrics	
B	Anymore	80	Travis Tritt	Country	1990s	https://tabs.ultimate-guitar.com/tab/travis-tritt/anymore-chords	https://genius.com/Travis-tritt-anymore-lyrics	
E	Baby Got Back	110	Sir Mix-a-Lot	Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/sir-mix-a-lot/baby-got-back-chords	https://genius.com/Sir-mix-a-lot-baby-got-back-lyrics	
C	Baby One More Time	93	Britney Spears	Pop	1990s	https://tabs.ultimate-guitar.com/tab/britney-spears/baby-one-more-time-chords	https://genius.com/Britney-spears-baby-one-more-time-lyrics	
G	Bad Bad Leroy Brown	120	Jim Croce	Pop/Folk	1970s	https://tabs.ultimate-guitar.com/tab/jim-croce/bad-bad-leroy-brown-chords	https://genius.com/Jim-croce-bad-bad-leroy-brown-lyrics	
C	Bad Romance	119	Lady Gaga	Dance Pop	2000s	https://tabs.ultimate-guitar.com/tab/lady-gaga/bad-romance-chords	https://genius.com/Lady-gaga-bad-romance-lyrics	
A	Barbie Girl	136	Aqua	Europop	1990s	https://tabs.ultimate-guitar.com/tab/aqua/barbie-girl-chords	https://genius.com/Aqua-barbie-girl-lyrics	
Am	Because I Got High	76	Afroman	Hip Hop/Comedy	2000s	https://tabs.ultimate-guitar.com/tab/afroman/because-i-got-high-chords	https://genius.com/Afroman-because-i-got-high-lyrics	
G	Bennie And The Jets	65	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/bennie-and-the-jets-chords	https://genius.com/Elton-john-bennie-and-the-jets-lyrics	
F#m	Billie Jean	120	Michael Jackson	Pop/Funk	1980s	https://tabs.ultimate-guitar.com/tab/michael-jackson/billie-jean-chords	https://genius.com/Michael-jackson-billie-jean-lyrics	
Dm	Black Magic Woman	120	Santana	Latin Rock	1970s	https://tabs.ultimate-guitar.com/tab/santana/black-magic-woman-chords	https://genius.com/Santana-black-magic-woman-lyrics	
C	Blister In The Sun	163	Violent Femmes	Alternative Rock	1980s	https://tabs.ultimate-guitar.com/tab/violent-femmes/blister-in-the-sun-chords	https://genius.com/Violent-femmes-blister-in-the-sun-lyrics	
A	Blue Suede Shoes	176	Elvis Presley	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/elvis-presley/blue-suede-shoes-chords	https://genius.com/Elvis-presley-blue-suede-shoes-lyrics	
Dm	Blue On Black	72	Kenny Wayne Shepherd	Blues Rock	1990s	https://tabs.ultimate-guitar.com/tab/kenny-wayne-shepherd/blue-on-black-chords	https://genius.com/Kenny-wayne-shepherd-blue-on-black-lyrics	
Bm	Blue Skies	136	Irving Berlin	Jazz Standard	1920s	https://tabs.ultimate-guitar.com/tab/irving-berlin/blue-skies-chords	https://genius.com/Irving-berlin-blue-skies-lyrics	
C	Blueberry Hill	88	Fats Domino	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/fats-domino/blueberry-hill-chords	https://genius.com/Fats-domino-blueberry-hill-lyrics	
G	Bobby McGee	90	Janis Joplin	Rock	1970s	https://tabs.ultimate-guitar.com/tab/janis-joplin/bobby-mcgee-chords	https://genius.com/Janis-joplin-bobby-mcgee-lyrics	
Bb	Bohemian Rhapsody	144	Queen	Rock/Opera	1970s	https://tabs.ultimate-guitar.com/tab/queen/bohemian-rhapsody-chords	https://genius.com/Queen-bohemian-rhapsody-lyrics	
Dm	Boogie Oogie Oogie	124	A Taste of Honey	Disco	1970s	https://tabs.ultimate-guitar.com/tab/a-taste-of-honey/boogie-oogie-oogie-chords	https://genius.com/A-taste-of-honey-boogie-oogie-oogie-lyrics	
E	Born On The Bayou	124	Creedence Clearwater Revival	Swamp Rock	1960s	https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/born-on-the-bayou-chords	https://genius.com/Creedence-clearwater-revival-born-on-the-bayou-lyrics	
E	Born To Be Wild	148	Steppenwolf	Rock	1960s	https://tabs.ultimate-guitar.com/tab/steppenwolf/born-to-be-wild-chords	https://genius.com/Steppenwolf-born-to-be-wild-lyrics	
E	Boys Of Summer	139	Don Henley	Rock	1980s	https://tabs.ultimate-guitar.com/tab/don-henley/boys-of-summer-chords	https://genius.com/Don-henley-boys-of-summer-lyrics	
Bb	Break Even	84	The Script	Pop Rock	2000s	https://tabs.ultimate-guitar.com/tab/the-script/break-even-chords	https://genius.com/The-script-break-even-lyrics	
Am	Breakdown	100	Tom Petty	Rock	1970s	https://tabs.ultimate-guitar.com/tab/tom-petty/breakdown-chords	https://genius.com/Tom-petty-breakdown-lyrics	
G	Broadway	120	Goo Goo Dolls	Alternative Rock	1990s	https://tabs.ultimate-guitar.com/tab/goo-goo-dolls/broadway-chords	https://genius.com/Goo-goo-dolls-broadway-lyrics	
G	Brown Eyed Girl	74	Van Morrison	Pop Rock	1960s	https://tabs.ultimate-guitar.com/tab/van-morrison/brown-eyed-girl-chords	https://genius.com/Van-morrison-brown-eyed-girl-lyrics	
G	Brown Sugar	126	The Rolling Stones	Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-rolling-stones/brown-sugar-chords	https://genius.com/The-rolling-stones-brown-sugar-lyrics	
A	Bring It On Home To Me	80	Sam Cooke	Soul	1960s	https://tabs.ultimate-guitar.com/tab/sam-cooke/bring-it-on-home-to-me-chords	https://genius.com/Sam-cooke-bring-it-on-home-to-me-lyrics	
G	Build Me Up Buttercup	136	The Foundations	Pop	1960s	https://tabs.ultimate-guitar.com/tab/the-foundations/build-me-up-buttercup-chords	https://genius.com/The-foundations-build-me-up-buttercup-lyrics	
C	Bye Bye Bye	96	*NSYNC	Pop	1990s	https://tabs.ultimate-guitar.com/tab/nsync/bye-bye-bye-chords	https://genius.com/Nsync-bye-bye-bye-lyrics	
G	Can't You See	76	Marshall Tucker Band	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/marshall-tucker-band/cant-you-see-chords	https://genius.com/Marshall-tucker-band-cant-you-see-lyrics	
Dm	Careless Whisper	80	George Michael	Pop/Soul	1980s	https://tabs.ultimate-guitar.com/tab/george-michael/careless-whisper-chords	https://genius.com/George-michael-careless-whisper-lyrics	
C	Celebration	126	Kool & The Gang	Funk/Disco	1980s	https://tabs.ultimate-guitar.com/tab/kool-the-gang/celebration-chords	https://genius.com/Kool-the-gang-celebration-lyrics	
C	Centerfold	138	J. Geils Band	Rock	1980s	https://tabs.ultimate-guitar.com/tab/j-geils-band/centerfold-chords	https://genius.com/J-geils-band-centerfold-lyrics	
Am	Chain Of Fools	116	Aretha Franklin	Soul	1960s	https://tabs.ultimate-guitar.com/tab/aretha-franklin/chain-of-fools-chords	https://genius.com/Aretha-franklin-chain-of-fools-lyrics	
C	Chattahoochee	100	Alan Jackson	Country	1990s	https://tabs.ultimate-guitar.com/tab/alan-jackson/chattahoochee-chords	https://genius.com/Alan-jackson-chattahoochee-lyrics	
Gm	Cheap Sunglasses	136	ZZ Top	Rock	1970s	https://tabs.ultimate-guitar.com/tab/zz-top/cheap-sunglasses-chords	https://genius.com/Zz-top-cheap-sunglasses-lyrics	
G	Chicken Fried	92	Zac Brown Band	Country	2000s	https://tabs.ultimate-guitar.com/tab/zac-brown-band/chicken-fried-chords	https://genius.com/Zac-brown-band-chicken-fried-lyrics	
Gm	Circles	120	Post Malone	Pop/Hip Hop	2010s	https://tabs.ultimate-guitar.com/tab/post-malone/circles-chords	https://genius.com/Post-malone-circles-lyrics	
D	City of Angels	120	Red Hot Chili Peppers	Alternative Rock	1990s	https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/city-of-angels-chords	https://genius.com/Red-hot-chili-peppers-city-of-angels-lyrics	
C#	Closer	95	The Chainsmokers ft. Halsey	Pop/EDM	2010s	https://tabs.ultimate-guitar.com/tab/the-chainsmokers-ft-halsey/closer-chords	https://genius.com/The-chainsmokers-ft-halsey-closer-lyrics	
Am	Cold Shot	110	Stevie Ray Vaughan	Blues	1980s	https://tabs.ultimate-guitar.com/tab/stevie-ray-vaughan/cold-shot-chords	https://genius.com/Stevie-ray-vaughan-cold-shot-lyrics	
E	Come And Get Your Love	120	Redbone	Rock/Funk	1970s	https://tabs.ultimate-guitar.com/tab/redbone/come-and-get-your-love-chords	https://genius.com/Redbone-come-and-get-your-love-lyrics	
A	Come Monday	76	Jimmy Buffett	Country/Soft Rock	1970s	https://tabs.ultimate-guitar.com/tab/jimmy-buffett/come-monday-chords	https://genius.com/Jimmy-buffett-come-monday-lyrics	
C	Come On Eileen	136	Dexys Midnight Runners	New Wave	1980s	https://tabs.ultimate-guitar.com/tab/dexys-midnight-runners/come-on-eileen-chords	https://genius.com/Dexys-midnight-runners-come-on-eileen-lyrics	
D	Come Together	82	The Beatles	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-beatles/come-together-chords	https://genius.com/The-beatles-come-together-lyrics	
Bm	Comfortably Numb	63	Pink Floyd	Progressive Rock	1970s	https://tabs.ultimate-guitar.com/tab/pink-floyd/comfortably-numb-chords	https://genius.com/Pink-floyd-comfortably-numb-lyrics	
C	Country Girl	100	Luke Bryan	Country	2010s	https://tabs.ultimate-guitar.com/tab/luke-bryan/country-girl-chords	https://genius.com/Luke-bryan-country-girl-lyrics	
G	Country Road	86	John Denver	Country Folk	1970s	https://tabs.ultimate-guitar.com/tab/john-denver/country-road-chords	https://genius.com/John-denver-country-road-lyrics	
C	Crocodile Rock	130	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/crocodile-rock-chords	https://genius.com/Elton-john-crocodile-rock-lyrics	
Gm	Crying Shame	120	Tesla	Rock	1980s	https://tabs.ultimate-guitar.com/tab/tesla/crying-shame-chords	https://genius.com/Tesla-crying-shame-lyrics	
Gm	Dancing In The Moonlight	128	King Harvest	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/king-harvest/dancing-in-the-moonlight-chords	https://genius.com/King-harvest-dancing-in-the-moonlight-lyrics	
C	Dancing Queen	100	ABBA	Disco/Pop	1970s	https://tabs.ultimate-guitar.com/tab/abba/dancing-queen-chords	https://genius.com/Abba-dancing-queen-lyrics	
Am	Dani California	96	Red Hot Chili Peppers	Alternative Rock	2000s	https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/dani-california-chords	https://genius.com/Red-hot-chili-peppers-dani-california-lyrics	
C	Daniel	118	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/daniel-chords	https://genius.com/Elton-john-daniel-lyrics	
E	Devil Went Down To Georgia	145	Charlie Daniels Band	Country Rock	1970s	https://tabs.ultimate-guitar.com/tab/charlie-daniels-band/devil-went-down-to-georgia-chords	https://genius.com/Charlie-daniels-band-devil-went-down-to-georgia-lyrics	
G	Dock Of The Bay	103	Otis Redding	Soul	1960s	https://tabs.ultimate-guitar.com/tab/otis-redding/dock-of-the-bay-chords	https://genius.com/Otis-redding-dock-of-the-bay-lyrics	
A	Domino	148	Van Morrison	Rock/Soul	1970s	https://tabs.ultimate-guitar.com/tab/van-morrison/domino-chords	https://genius.com/Van-morrison-domino-lyrics	
A	Don't Stop Believin	119	Journey	Rock	1980s	https://tabs.ultimate-guitar.com/tab/journey/dont-stop-believin-chords	https://genius.com/Journey-dont-stop-believin-lyrics	
E	Don't Be Cruel	145	Elvis Presley	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/elvis-presley/dont-be-cruel-chords	https://genius.com/Elvis-presley-dont-be-cruel-lyrics	
